Acordes
C
C/C
C/D
C/E
C/F
C/G
C/A
C/B
Cm
Cm/C
Cm/D
Cm/E
Cm/F
Cm/G
Cm/A
Cm/B
C6
C6/C
C6/D
C6/E
C6/F
C6/G
C6/A
C6/B
C7
C7/C
C7/D
C7/E
C7/F
C7/G
C7/A
C7/B
C9
C9/C
C9/D
C9/E
C9/F
C9/G
C9/A
C9/B
C11
C11/C
C11/D
C11/E
C11/F
C11/G
C11/A
C11/B
C13
C13/C
C13/D
C13/E
C13/F
C13/G
C13/A
C13/B
Cm6
Cm6/C
Cm6/D
Cm6/E
Cm6/F
Cm6/G
Cm6/A
Cm6/B
Cm7
Cm7/C
Cm7/D
Cm7/E
Cm7/F
Cm7/G
Cm7/A
Cm7/B
Cm9
Cm9/C
Cm9/D
Cm9/E
Cm9/F
Cm9/G
Cm9/A
Cm9/B
Cm11
Cm11/C
Cm11/D
Cm11/E
Cm11/F
Cm11/G
Cm11/A
Cm11/B
Cm13
Cm13/C
Cm13/D
Cm13/E
Cm13/F
Cm13/G
Cm13/A
Cm13/B
Cmaj7
Cmaj7/C
Cmaj7/D
Cmaj7/E
Cmaj7/F
Cmaj7/G
Cmaj7/A
Cmaj7/B
Cmaj9
Cmaj9/C
Cmaj9/D
Cmaj9/E
Cmaj9/F
Cmaj9/G
Cmaj9/A
Cmaj9/B
Cmaj11
Cmaj11/C
Cmaj11/D
Cmaj11/E
Cmaj11/F
Cmaj11/G
Cmaj11/A
Cmaj11/B
Cmaj13
Cmaj13/C
Cmaj13/D
Cmaj13/E
Cmaj13/F
Cmaj13/G
Cmaj13/A
Cmaj13/B
Cdim
Cdim/C
Cdim/D
Cdim/E
Cdim/F
Cdim/G
Cdim/A
Cdim/B
Cdim7
Cdim7/C
Cdim7/D
Cdim7/E
Cdim7/F
Cdim7/G
Cdim7/A
Cdim7/B
Caug
Caug/C
Caug/D
Caug/E
Caug/F
Caug/G
Caug/A
Caug/B
Csus2
Csus2/C
Csus2/D
Csus2/E
Csus2/F
Csus2/G
Csus2/A
Csus2/B
Csus4
Csus4/C
Csus4/D
Csus4/E
Csus4/F
Csus4/G
Csus4/A
Csus4/B
Csus9
Csus9/C
Csus9/D
Csus9/E
Csus9/F
Csus9/G
Csus9/A
Csus9/B
Cadd9
Cadd9/C
Cadd9/D
Cadd9/E
Cadd9/F
Cadd9/G
Cadd9/A
Cadd9/B
C#
C#/C
C#/D
C#/E
C#/F
C#/G
C#/A
C#/B
C#m
C#m/C
C#m/D
C#m/E
C#m/F
C#m/G
C#m/A
C#m/B
C#6
C#6/C
C#6/D
C#6/E
C#6/F
C#6/G
C#6/A
C#6/B
C#7
C#7/C
C#7/D
C#7/E
C#7/F
C#7/G
C#7/A
C#7/B
C#9
C#9/C
C#9/D
C#9/E
C#9/F
C#9/G
C#9/A
C#9/B
C#11
C#11/C
C#11/D
C#11/E
C#11/F
C#11/G
C#11/A
C#11/B
C#13
C#13/C
C#13/D
C#13/E
C#13/F
C#13/G
C#13/A
C#13/B
C#m6
C#m6/C
C#m6/D
C#m6/E
C#m6/F
C#m6/G
C#m6/A
C#m6/B
C#m7
C#m7/C
C#m7/D
C#m7/E
C#m7/F
C#m7/G
C#m7/A
C#m7/B
C#m9
C#m9/C
C#m9/D
C#m9/E
C#m9/F
C#m9/G
C#m9/A
C#m9/B
C#m11
C#m11/C
C#m11/D
C#m11/E
C#m11/F
C#m11/G
C#m11/A
C#m11/B
C#m13
C#m13/C
C#m13/D
C#m13/E
C#m13/F
C#m13/G
C#m13/A
C#m13/B
C#maj7
C#maj7/C
C#maj7/D
C#maj7/E
C#maj7/F
C#maj7/G
C#maj7/A
C#maj7/B
C#maj9
C#maj9/C
C#maj9/D
C#maj9/E
C#maj9/F
C#maj9/G
C#maj9/A
C#maj9/B
C#maj11
C#maj11/C
C#maj11/D
C#maj11/E
C#maj11/F
C#maj11/G
C#maj11/A
C#maj11/B
C#maj13
C#maj13/C
C#maj13/D
C#maj13/E
C#maj13/F
C#maj13/G
C#maj13/A
C#maj13/B
C#dim
C#dim/C
C#dim/D
C#dim/E
C#dim/F
C#dim/G
C#dim/A
C#dim/B
C#dim7
C#dim7/C
C#dim7/D
C#dim7/E
C#dim7/F
C#dim7/G
C#dim7/A
C#dim7/B
C#aug
C#aug/C
C#aug/D
C#aug/E
C#aug/F
C#aug/G
C#aug/A
C#aug/B
C#sus2
C#sus2/C
C#sus2/D
C#sus2/E
C#sus2/F
C#sus2/G
C#sus2/A
C#sus2/B
C#sus4
C#sus4/C
C#sus4/D
C#sus4/E
C#sus4/F
C#sus4/G
C#sus4/A
C#sus4/B
C#sus9
C#sus9/C
C#sus9/D
C#sus9/E
C#sus9/F
C#sus9/G
C#sus9/A
C#sus9/B
C#add9
C#add9/C
C#add9/D
C#add9/E
C#add9/F
C#add9/G
C#add9/A
C#add9/B
D
D/C
D/D
D/E
D/F
D/G
D/A
D/B
Dm
Dm/C
Dm/D
Dm/E
Dm/F
Dm/G
Dm/A
Dm/B
D6
D6/C
D6/D
D6/E
D6/F
D6/G
D6/A
D6/B
D7
D7/C
D7/D
D7/E
D7/F
D7/G
D7/A
D7/B
D9
D9/C
D9/D
D9/E
D9/F
D9/G
D9/A
D9/B
D11
D11/C
D11/D
D11/E
D11/F
D11/G
D11/A
D11/B
D13
D13/C
D13/D
D13/E
D13/F
D13/G
D13/A
D13/B
Dm6
Dm6/C
Dm6/D
Dm6/E
Dm6/F
Dm6/G
Dm6/A
Dm6/B
Dm7
Dm7/C
Dm7/D
Dm7/E
Dm7/F
Dm7/G
Dm7/A
Dm7/B
Dm9
Dm9/C
Dm9/D
Dm9/E
Dm9/F
Dm9/G
Dm9/A
Dm9/B
Dm11
Dm11/C
Dm11/D
Dm11/E
Dm11/F
Dm11/G
Dm11/A
Dm11/B
Dm13
Dm13/C
Dm13/D
Dm13/E
Dm13/F
Dm13/G
Dm13/A
Dm13/B
Dmaj7
Dmaj7/C
Dmaj7/D
Dmaj7/E
Dmaj7/F
Dmaj7/G
Dmaj7/A
Dmaj7/B
Dmaj9
Dmaj9/C
Dmaj9/D
Dmaj9/E
Dmaj9/F
Dmaj9/G
Dmaj9/A
Dmaj9/B
